Tamanho;Cenario;Algoritmo;Dado;Media;DesvioPadrao;Minimo;Maximo;Mediana;CV;IC95_Superior;IC95_Inferior
1000;Aleatorio;BubbleSort;COMPARACOES;498437.77;728.93;497085.00;499434.00;498465.00;0.15;498698.61;498176.92
1000;Aleatorio;BubbleSort;TROCAS;249316.97;4644.77;238681.00;257909.00;249615.00;1.86;250979.08;247654.86
1000;Aleatorio;BubbleSort;ACESSOS;1994143.40;18908.17;1950184.00;2029824.00;1995729.00;0.95;2000909.60;1987377.20
1000;Aleatorio;BubbleSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Aleatorio;BubbleSort;TEMPO;12095416.67;832226.12;11318500.00;15331500.00;11789800.00;6.88;12393224.96;11797608.37
1000;Aleatorio;BubbleSort;MEM_AUX;17.00;0.00;17.00;17.00;17.00;0.00;17.00;17.00
1000;Aleatorio;InsertionSort;COMPARACOES;502995.53;13409.47;475127.00;527829.00;501388.00;2.67;507794.05;498197.02
1000;Aleatorio;InsertionSort;TROCAS;252003.97;6704.76;238075.00;264422.00;251203.50;2.66;254403.23;249604.70
1000;Aleatorio;InsertionSort;ACESSOS;1007003.47;26818.98;951277.00;1056673.00;1003795.00;2.66;1016600.52;997406.42
1000;Aleatorio;InsertionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Aleatorio;InsertionSort;TEMPO;5540020.00;246828.70;5132100.00;6012400.00;5522750.00;4.46;5628346.52;5451693.48
1000;Aleatorio;InsertionSort;MEM_AUX;16.00;0.00;16.00;16.00;16.00;0.00;16.00;16.00
1000;Aleatorio;SelectionSort;COMPARACOES;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
1000;Aleatorio;SelectionSort;TROCAS;992.50;1.89;990.00;996.00;992.00;0.19;993.18;991.82
1000;Aleatorio;SelectionSort;ACESSOS;1002970.00;7.56;1002960.00;1002984.00;1002968.00;0.00;1002972.70;1002967.30
1000;Aleatorio;SelectionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Aleatorio;SelectionSort;TEMPO;6823793.33;394517.10;6372700.00;8133500.00;6784800.00;5.78;6964969.46;6682617.20
1000;Aleatorio;SelectionSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;Aleatorio;MergeSort;COMPARACOES;8712.43;13.25;8684.00;8741.00;8711.00;0.15;8717.17;8707.69
1000;Aleatorio;MergeSort;TROCAS;19952.00;0.00;19952.00;19952.00;19952.00;0.00;19952.00;19952.00
1000;Aleatorio;MergeSort;ACESSOS;57328.87;26.49;57272.00;57386.00;57326.00;0.05;57338.35;57319.39
1000;Aleatorio;MergeSort;PROF_REC;9.00;0.00;9.00;9.00;9.00;0.00;9.00;9.00
1000;Aleatorio;MergeSort;TEMPO;449303.33;33935.70;426500.00;567300.00;439600.00;7.55;461447.07;437159.60
1000;Aleatorio;MergeSort;MEM_AUX;4144.00;0.00;4144.00;4144.00;4144.00;0.00;4144.00;4144.00
1000;Aleatorio;QuickSort;COMPARACOES;11044.93;669.10;10083.00;13196.00;11057.00;6.06;11284.37;10805.50
1000;Aleatorio;QuickSort;TROCAS;5006.97;546.99;4146.00;6637.00;4912.50;10.92;5202.70;4811.23
1000;Aleatorio;QuickSort;ACESSOS;31740.47;2672.80;27687.00;40412.00;31197.00;8.42;32696.92;30784.02
1000;Aleatorio;QuickSort;PROF_REC;20.27;1.82;18.00;24.00;20.00;8.97;20.92;19.62
1000;Aleatorio;QuickSort;TEMPO;230750.00;26994.03;200400.00;338800.00;223150.00;11.70;240409.69;221090.31
1000;Aleatorio;QuickSort;MEM_AUX;324.27;29.09;288.00;384.00;320.00;8.97;334.68;313.86
1000;Aleatorio;QuickSortRandomizado;COMPARACOES;11040.03;823.33;10102.00;13490.00;10867.00;7.46;11334.66;10745.41
1000;Aleatorio;QuickSortRandomizado;TROCAS;5547.57;638.12;4385.00;7157.00;5451.50;11.50;5775.92;5319.22
1000;Aleatorio;QuickSortRandomizado;ACESSOS;33899.73;3149.87;28305.00;42782.00;33583.50;9.29;35026.90;32772.57
1000;Aleatorio;QuickSortRandomizado;PROF_REC;20.63;2.27;17.00;27.00;20.00;10.98;21.44;19.82
1000;Aleatorio;QuickSortRandomizado;TEMPO;273636.67;21823.45;244300.00;322400.00;271350.00;7.98;281446.09;265827.24
1000;Aleatorio;QuickSortRandomizado;MEM_AUX;412.67;45.33;340.00;540.00;400.00;10.98;428.89;396.45
1000;Aleatorio;HeapSort;COMPARACOES;16842.73;30.26;16776.00;16902.00;16836.50;0.18;16853.56;16831.90
1000;Aleatorio;HeapSort;TROCAS;9075.17;22.71;9018.00;9124.00;9076.00;0.25;9083.29;9067.04
1000;Aleatorio;HeapSort;ACESSOS;69986.13;144.95;69640.00;70258.00;69979.00;0.21;70038.00;69934.26
1000;Aleatorio;HeapSort;PROF_REC;9.00;0.00;9.00;9.00;9.00;0.00;9.00;9.00
1000;Aleatorio;HeapSort;TEMPO;470216.67;23513.02;446000.00;563100.00;460350.00;5.00;478630.69;461802.64
1000;Aleatorio;HeapSort;MEM_AUX;144.00;0.00;144.00;144.00;144.00;0.00;144.00;144.00
1000;Aleatorio;ShellSort;COMPARACOES;17258.93;863.05;15660.00;19339.00;17167.50;5.00;17567.77;16950.10
1000;Aleatorio;ShellSort;TROCAS;14304.17;432.05;13504.00;15349.00;14253.00;3.02;14458.78;14149.56
1000;Aleatorio;ShellSort;ACESSOS;45867.27;1727.09;42668.00;50037.00;45673.50;3.77;46485.30;45249.23
1000;Aleatorio;ShellSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Aleatorio;ShellSort;TEMPO;367656.67;29485.66;345800.00;487700.00;358450.00;8.02;378207.97;357105.36
1000;Aleatorio;ShellSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;Ordenado;BubbleSort;COMPARACOES;999.00;0.00;999.00;999.00;999.00;0.00;999.00;999.00
1000;Ordenado;BubbleSort;TROCAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;BubbleSort;ACESSOS;1998.00;0.00;1998.00;1998.00;1998.00;0.00;1998.00;1998.00
1000;Ordenado;BubbleSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;BubbleSort;TEMPO;13303.33;228.16;13100.00;14200.00;13200.00;1.72;13384.98;13221.69
1000;Ordenado;BubbleSort;MEM_AUX;17.00;0.00;17.00;17.00;17.00;0.00;17.00;17.00
1000;Ordenado;InsertionSort;COMPARACOES;999.00;0.00;999.00;999.00;999.00;0.00;999.00;999.00
1000;Ordenado;InsertionSort;TROCAS;999.00;0.00;999.00;999.00;999.00;0.00;999.00;999.00
1000;Ordenado;InsertionSort;ACESSOS;2997.00;0.00;2997.00;2997.00;2997.00;0.00;2997.00;2997.00
1000;Ordenado;InsertionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;InsertionSort;TEMPO;23076.67;1556.89;22100.00;31200.00;22800.00;6.75;23633.79;22519.54
1000;Ordenado;InsertionSort;MEM_AUX;16.00;0.00;16.00;16.00;16.00;0.00;16.00;16.00
1000;Ordenado;SelectionSort;COMPARACOES;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
